timestamp,vehicle_ids,overlap_ratio,relative_speed,velocities,centers,alert_sent,notes
2025-06-20 16:52:45,"['2', '8']",0.357701893227231,17.662697451579437,"[(-22.016537136854513, 1.761322970948361), (-4.403307427370903, 0.4403307427370903)]","[(449, 324), (617, 298)]",False,Automated detection
2025-06-20 16:52:45,"['1', '5']",0.3047907961765211,20.418561650214677,"[(-0.9604083523366983, -1.9208167046733966), (14.406125285050475, 11.52490022804038)]","[(669, 314), (480, 349)]",False,Automated detection
2025-06-20 16:52:45,"['1', '8']",0.6985719493446183,9.458925293821434,"[(-0.9604083523366983, -1.9208167046733966), (-9.604083523366983, 1.9208167046733966)]","[(669, 314), (615, 299)]",False,Automated detection
2025-06-20 16:52:47,"['2', '3']",0.5750125118463226,3.2906381617947726,"[(-3.2906381617947726, 0.0), (0.0, 0.0)]","[(439, 325), (364, 319)]",False,Automated detection
2025-06-20 16:52:47,"['2', '5']",0.6498841042784452,5.427059486707274,"[(-3.2906381617947726, 0.0), (1.9743828970768635, 1.316255264717909)]","[(439, 325), (483, 351)]",False,Automated detection
2025-06-20 16:52:47,"['3', '4']",0.8878930696129181,1.316255264717909,"[(0.0, 0.0), (-1.316255264717909, 0.0)]","[(364, 319), (373, 314)]",False,Automated detection
2025-06-20 16:52:47,"['5', '8']",0.35987016689694495,3.5441257643821973,"[(1.9743828970768635, 1.316255264717909), (-1.316255264717909, 0.0)]","[(483, 351), (613, 299)]",False,Automated detection
2025-06-20 16:52:48,"['1', '9']",0.6698638020333781,0.0,"[(0.0, 0.0), (0.0, 0.0)]","[(669, 314), (604, 301)]",False,Automated detection
2025-06-20 16:52:48,"['8', '9']",0.9379105764493348,1.688699157744836,"[(-1.688699157744836, 0.0), (0.0, 0.0)]","[(611, 299), (604, 301)]",False,Automated detection
2025-06-20 16:52:49,"['2', '4']",0.6543137637344776,10.244264207838276,"[(-10.995298151133321, 0.9162748459277769), (-0.9162748459277769, -0.9162748459277769)]","[(424, 326), (372, 314)]",False,Automated detection
2025-06-20 16:52:50,"['4', '5']",0.30080163684172667,18.75377289110387,"[(0.0, 0.9658684436989482), (15.453895099183171, 11.590421324387378)]","[(373, 315), (504, 368)]",False,Automated detection
2025-06-20 16:52:50,"['2', '8']",0.306021008758343,7.4999622785134905,"[(-18.60511661288992, 2.790767491933488), (-11.163069967733952, 1.8605116612889918)]","[(404, 329), (594, 302)]",False,Automated detection
2025-06-20 16:52:52,"['1', '8']",0.6031517292673857,30.44794487481885,"[(2.829732481251739, -4.716220802086231), (-26.410836491682893, 3.772976641668985)]","[(671, 304), (564, 306)]",False,Automated detection
2025-06-20 16:52:52,"['5', '9']",0.38959621680611134,38.500079271406946,"[(25.46759233126565, 20.751371529179416), (-7.54595328333797, 0.9432441604172462)]","[(536, 394), (589, 303)]",False,Automated detection
